sector,yearly_return
Defense,0.4208971902937421
Telecommunications,0.33230727315034003
Automobile,0.31024814992070004
Energy,0.23935640961438812
IT,0.2315201924130449
Industrials,0.16873238274620717
Transportation,0.15845940469946773
Healthcare,0.11115702035771298
Insurance,0.04082353496658398
Financials,0.016401965508540006
Conglomerate,-0.021425745808958105
Consumer Goods,-0.024691564235951497
